Title,Author,ISBN Valid,Publisher,Subjects,i,isbn_clean,metadata,description_x,categories,all_text,description_y,first_isbn,api_title,api_authors,api_publisher,api_published_date,api_description,api_categories,api_thumbnail
Classification décimale universelle : édition abrégée /,,9782871303336; 2871303339,Ed du CEFAL,Classification décimale universelle; Indexation (documentation); classification décimale universelle--[tables]; Book Classification; Reference Books; Outline,0,9782871303336,"{'description': '', 'categories': [], 'avg_rating': 0, 'page_count': 449}",,[],classification décimale universelle : édition abrégée /  classification décimale universelle; indexation (documentation); classification décimale universelle--[tables]; book classification; reference books; outline ,,9782871303336,Classification décimale universelle,UDC Consortium (The Hague),,2012,,,
Les interactions dans l'enseignement des langues : agir professoral et pratiques de classe /,"Cicurel, Francine, 1947-",9782278058327; 2278058320,Didier,didactique--langue étrangère - enseignement; didactique--langue - enseignement,1,9782278058327,"{'description': ""C'est dans l'interaction en classe que s'actualise l'action d'un enseignant mais elle s'édifie également au sein de contextes éducatifs et de cultures éducatives variés. Cette étude vise à mieux faire comprendre comment les pratiques de transmission se construisent dans l'enseignement des langues. Elle met en lumière l'importance à accorder aux intentions d'agir, aux motifs de l'action enseignante, aux répertoires didactiques des enseignants. A partir d'observations d'interactions en classes de langue et de paroles d'enseignants sur leur action, ce livre introduit à l'agir professoral, entendu comme l'ensemble des actions verbales et non verbales que met en place un professeur pour transmettre et communiquer des savoirs. L'ouvrage est conçu pour que les enseignants et les futurs enseignants découvrent leur propre culture professorale, une culture où coexistent principes, croyances, désirs, expériences, idéalisations."", 'categories': ['Interaction analysis in education'], 'avg_rating': 0, 'page_count': 287}","C'est dans l'interaction en classe que s'actualise l'action d'un enseignant mais elle s'édifie également au sein de contextes éducatifs et de cultures éducatives variés. Cette étude vise à mieux faire comprendre comment les pratiques de transmission se construisent dans l'enseignement des langues. Elle met en lumière l'importance à accorder aux intentions d'agir, aux motifs de l'action enseignante, aux répertoires didactiques des enseignants. A partir d'observations d'interactions en classes de langue et de paroles d'enseignants sur leur action, ce livre introduit à l'agir professoral, entendu comme l'ensemble des actions verbales et non verbales que met en place un professeur pour transmettre et communiquer des savoirs. L'ouvrage est conçu pour que les enseignants et les futurs enseignants découvrent leur propre culture professorale, une culture où coexistent principes, croyances, désirs, expériences, idéalisations.",['Interaction analysis in education'],"les interactions dans l'enseignement des langues : agir professoral et pratiques de classe / cicurel, francine, 1947- didactique--langue étrangère - enseignement; didactique--langue - enseignement ",,9782278058327,Les interactions dans l'enseignement des langues,Francine Cicurel,Editions Didier,2011,"C'est dans l'interaction en classe que s'actualise l'action d'un enseignant mais elle s'édifie également au sein de contextes éducatifs et de cultures éducatives variés. Cette étude vise à mieux faire comprendre comment les pratiques de transmission se construisent dans l'enseignement des langues. Elle met en lumière l'importance à accorder aux intentions d'agir, aux motifs de l'action enseignante, aux répertoires didactiques des enseignants. A partir d'observations d'interactions en classes de langue et de paroles d'enseignants sur leur action, ce livre introduit à l'agir professoral, entendu comme l'ensemble des actions verbales et non verbales que met en place un professeur pour transmettre et communiquer des savoirs. L'ouvrage est conçu pour que les enseignants et les futurs enseignants découvrent leur propre culture professorale, une culture où coexistent principes, croyances, désirs, expériences, idéalisations.",Interaction analysis in education,
Histoire de vie et recherche biographique : perspectives sociohistoriques /,,2343190194; 9782343190198,L'Harmattan,Histoires de vie en sociologie; Sciences sociales--Méthodologie; Actes de congrès,2,2343190194,"{'description': ""Depuis la parution en 1918 de l'ouvrage fondateur The Polish Peasant in Europe and America : Monograph of an Immigrant Group de William Thomas et Florian Znaniecki, un puissant courant de recherche s'est déployé à partir des récits de vie. La vitalité de ce paradigme est réfléchie selon différentes perspectives sociohistoriques dans cet ouvrage qui comporte trois parties. La première est l'occasion d'un retour sur les sources des approches narratives et biographiques dans le champ des sciences humaines et sociales, depuis les premiers travaux de Thomas et Znaniecki et de l'École de Chicago. La seconde est dédiée aux approches (auto)biographiques mobilisées dans les domaines de la recherche, de l'intervention et de la formation, tandis que la troisième est plus spécifiquement dédiée aux recherches qui mobilisent le récit et les histoires de vie, en s'intéressant notamment aux phénomènes de compréhension générés par le récit. Au gré des chapitres, le lecteur pourra percevoir et comprendre la diversité et la cohérence des courants, approches et terrains de la recherche qui mobilisent les méthodes biographiques et narratives. Ce livre collectif est le produit d'une recherche internationale sur la vitalité historique des approches narratives et biographiques. Il résulte également de deux colloques scientifiques qui ont été organisés en 2018 : Vitalités des approches biographiques (Université de Basse-Silésie à Wroclaw, Pologne) et Les sciences sociales à l'épreuve du terrain. Logique d'enquête, approches narratives et dynamiques coopératives depuis l'école de Chicago (Université de Tours, France). Il s'inscrit aussi dans la dynamique de réseaux associatifs de recherche-formation : ASIHVIF (Association internationale des Histoires de vie et Recherche Biographique en Éducation) et Biograph (Associação Brasileira de Pesquisa (Auto) Biográfica)."", 'categories': ['Narrative inquiry (Research method)'], 'avg_rating': 0, 'page_count': 311}","Depuis la parution en 1918 de l'ouvrage fondateur The Polish Peasant in Europe and America : Monograph of an Immigrant Group de William Thomas et Florian Znaniecki, un puissant courant de recherche s'est déployé à partir des récits de vie. La vitalité de ce paradigme est réfléchie selon différentes perspectives sociohistoriques dans cet ouvrage qui comporte trois parties. La première est l'occasion d'un retour sur les sources des approches narratives et biographiques dans le champ des sciences humaines et sociales, depuis les premiers travaux de Thomas et Znaniecki et de l'École de Chicago. La seconde est dédiée aux approches (auto)biographiques mobilisées dans les domaines de la recherche, de l'intervention et de la formation, tandis que la troisième est plus spécifiquement dédiée aux recherches qui mobilisent le récit et les histoires de vie, en s'intéressant notamment aux phénomènes de compréhension générés par le récit. Au gré des chapitres, le lecteur pourra percevoir et comprendre la diversité et la cohérence des courants, approches et terrains de la recherche qui mobilisent les méthodes biographiques et narratives. Ce livre collectif est le produit d'une recherche internationale sur la vitalité historique des approches narratives et biographiques. Il résulte également de deux colloques scientifiques qui ont été organisés en 2018 : Vitalités des approches biographiques (Université de Basse-Silésie à Wroclaw, Pologne) et Les sciences sociales à l'épreuve du terrain. Logique d'enquête, approches narratives et dynamiques coopératives depuis l'école de Chicago (Université de Tours, France). Il s'inscrit aussi dans la dynamique de réseaux associatifs de recherche-formation : ASIHVIF (Association internationale des Histoires de vie et Recherche Biographique en Éducation) et Biograph (Associação Brasileira de Pesquisa (Auto) Biográfica).",['Narrative inquiry (Research method)'],histoire de vie et recherche biographique : perspectives sociohistoriques /  histoires de vie en sociologie; sciences sociales--méthodologie; actes de congrès ,,2343190194,Histoire de vie et recherche biographique,"Aneta Slowik, Hervé Breton, Gaston Pineau",Histoire de vie et formation,2020,"Depuis la parution en 1918 de l'ouvrage fondateur The Polish Peasant in Europe and America : Monograph of an Immigrant Group de William Thomas et Florian Znaniecki, un puissant courant de recherche s'est déployé à partir des récits de vie. La vitalité de ce paradigme est réfléchie selon différentes perspectives sociohistoriques dans cet ouvrage qui comporte trois parties. La première est l'occasion d'un retour sur les sources des approches narratives et biographiques dans le champ des sciences humaines et sociales, depuis les premiers travaux de Thomas et Znaniecki et de l'École de Chicago. La seconde est dédiée aux approches (auto)biographiques mobilisées dans les domaines de la recherche, de l'intervention et de la formation, tandis que la troisième est plus spécifiquement dédiée aux recherches qui mobilisent le récit et les histoires de vie, en s'intéressant notamment aux phénomènes de compréhension générés par le récit. Au gré des chapitres, le lecteur pourra percevoir et comprendre la diversité et la cohérence des courants, approches et terrains de la recherche qui mobilisent les méthodes biographiques et narratives. Ce livre collectif est le produit d'une recherche internationale sur la vitalité historique des approches narratives et biographiques. Il résulte également de deux colloques scientifiques qui ont été organisés en 2018 : Vitalités des approches biographiques (Université de Basse-Silésie à Wroclaw, Pologne) et Les sciences sociales à l'épreuve du terrain. Logique d'enquête, approches narratives et dynamiques coopératives depuis l'école de Chicago (Université de Tours, France). Il s'inscrit aussi dans la dynamique de réseaux associatifs de recherche-formation : ASIHVIF (Association internationale des Histoires de vie et Recherche Biographique en Éducation) et Biograph (Associação Brasileira de Pesquisa (Auto) Biográfica).",Narrative inquiry (Research method),http://books.google.com/books/content?id=Q2PMDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
"Ce livre devrait me permettre de résoudre le conflit au Proche-Orient, d'avoir mon diplôme, et de trouver une femme /","Mazas, Sylvain, 1980-",9782365350020; 236535002X; 9782365350488; 2365350488,Vraoum!,Moyen-Orient; Bandes dessinées autobiographiques; Bandes dessinées,3,9782365350020,"{'description': '', 'categories': [], 'avg_rating': 0, 'page_count': 200}",,[],"ce livre devrait me permettre de résoudre le conflit au proche-orient, d'avoir mon diplôme, et de trouver une femme / mazas, sylvain, 1980- moyen-orient; bandes dessinées autobiographiques; bandes dessinées ",,9782365350020,,,,,,,
Les années glorieuses : roman /,"Lemaitre, Pierre, 1951-",9782702180815; 2702180817; 9782702183618; 2702183611,Calmann-Lévy,France--1945-1975; Roman historique; Roman français; Littérature française,4,9782702180815,"{'description': ""Trois histoires d'amour, un lanceur d'alerte, une adolescente égarée, deux processions, Bouddha et Confucius, un journaliste ambitieux, une mort tragique, le chat Joseph, une épouse impossible, le retour du passé, un parfum d'exotisme, une passion soudaine et irrésistible. Et quelques meurtres"", 'categories': ['French literature'], 'avg_rating': 0, 'page_count': 586}","Trois histoires d'amour, un lanceur d'alerte, une adolescente égarée, deux processions, Bouddha et Confucius, un journaliste ambitieux, une mort tragique, le chat Joseph, une épouse impossible, le retour du passé, un parfum d'exotisme, une passion soudaine et irrésistible. Et quelques meurtres",['French literature'],"les années glorieuses : roman / lemaitre, pierre, 1951- france--1945-1975; roman historique; roman français; littérature française ",,9782702180815,Le grand monde,Pierre Lemaitre,,2022,"Trois histoires d'amour, un lanceur d'alerte, une adolescente égarée, deux processions, Bouddha et Confucius, un journaliste ambitieux, une mort tragique, le chat Joseph, une épouse impossible, le retour du passé, un parfum d'exotisme, une passion soudaine et irrésistible. Et quelques meurtres",French literature,http://books.google.com/books/content?id=f5u3zgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
100 idées pour mieux gérer les troubles de l'attention /,"Lussier, Francine",9782353450428; 2353450423,Tom Pousse,Trouble déficitaire de l'attention avec ou sans hyperactivité; Enfants atteints de troubles de l'attention; Enfants hyperactifs; Guides pratiques,5,9782353450428,"{'description': ""Chaque jour, les parents et les enseignants sont confrontés aux problèmes que posent ces enfants inattentifs, impulsifs et hyperactifs. 100 idées pour comprendre les enjeux de ce trouble et organiser un environnement favorable. 100 idées qui constitueront une aide pertinente et concrète pour survivre à l’essoufflement que parents et enseignants ressentent lorsqu’ils sont aux prises avec l’enfant ou l’adolescent qui souffre d’un TDA/H (trouble du déficit d’attention avec ou sans hyperactivité), diagnostiqué ou non. Francine LUSSIER, docteur en neuropsychologie de l'Université de Montréal, neuropsychologue clinicienne à l'hôpital Sainte-Justine, a fondé le Centre d'Évaluation Neuropsychologique et d'Orientation Pédagogique (CÉNOP) en 1994. Elle est également l'autreur nombreux ouvrage, dont Mon enfant est difficile, chez le même éditeur."", 'categories': ['Education'], 'avg_rating': 0, 'page_count': 176}","Chaque jour, les parents et les enseignants sont confrontés aux problèmes que posent ces enfants inattentifs, impulsifs et hyperactifs. 100 idées pour comprendre les enjeux de ce trouble et organiser un environnement favorable. 100 idées qui constitueront une aide pertinente et concrète pour survivre à l’essoufflement que parents et enseignants ressentent lorsqu’ils sont aux prises avec l’enfant ou l’adolescent qui souffre d’un TDA/H (trouble du déficit d’attention avec ou sans hyperactivité), diagnostiqué ou non. Francine LUSSIER, docteur en neuropsychologie de l'Université de Montréal, neuropsychologue clinicienne à l'hôpital Sainte-Justine, a fondé le Centre d'Évaluation Neuropsychologique et d'Orientation Pédagogique (CÉNOP) en 1994. Elle est également l'autreur nombreux ouvrage, dont Mon enfant est difficile, chez le même éditeur.",['Education'],"100 idées pour mieux gérer les troubles de l'attention / lussier, francine trouble déficitaire de l'attention avec ou sans hyperactivité; enfants atteints de troubles de l'attention; enfants hyperactifs; guides pratiques ",,9782353450428,100 idées pour mieux gérer les troubles de l’attention avec ou sans hyperactivité (TDA/H),Francine Lussier,Tom Pousse,2013-02-11,"Chaque jour, les parents et les enseignants sont confrontés aux problèmes que posent ces enfants inattentifs, impulsifs et hyperactifs. 100 idées pour comprendre les enjeux de ce trouble et organiser un environnement favorable. 100 idées qui constitueront une aide pertinente et concrète pour survivre à l’essoufflement que parents et enseignants ressentent lorsqu’ils sont aux prises avec l’enfant ou l’adolescent qui souffre d’un TDA/H (trouble du déficit d’attention avec ou sans hyperactivité), diagnostiqué ou non. Francine LUSSIER, docteur en neuropsychologie de l'Université de Montréal, neuropsychologue clinicienne à l'hôpital Sainte-Justine, a fondé le Centre d'Évaluation Neuropsychologique et d'Orientation Pédagogique (CÉNOP) en 1994. Elle est également l'autreur nombreux ouvrage, dont Mon enfant est difficile, chez le même éditeur.",Education,
La boîte à outils des formateurs : 71 outils clés en main + 10 compléments en ligne + 1 podcast /,"Bouchut, Fabienne",9782100806614; 2100806610; 9782100846023; 2100846027,Dunod,Formateurs (éducation des adultes)--Formation.; Personnel--Formation.; Animateurs de formation.; Guides pratiques.,6,9782100806614,"{'description': '', 'categories': [], 'avg_rating': 0, 'page_count': 200}",,[],"la boîte à outils des formateurs : 71 outils clés en main + 10 compléments en ligne + 1 podcast / bouchut, fabienne formateurs (éducation des adultes)--formation.; personnel--formation.; animateurs de formation.; guides pratiques. ",,9782100806614,La boîte à outils des formateurs,"Fabienne Bouchut, Frédérique Cuisiniez, Isabelle Cauden, Jonathan Tronchet",,2020-05-27,,,
L'autorité éducative dans la classe : douze situations pour apprendre à l'exercer /,"Robbes, Bruno",9782710121152; 2710121158,ESF éd,autorité--relation maître-élève; autorité--enseignement primaire,7,9782710121152,"{'description': 'Tout enseignant, tout éducateur se doit d\'exercer une autorité. Aucun d\'entre eux, d\'ailleurs, ne souhaite délibérément abdiquer son autorité ! Pour autant, les injonctions à la "" restauration "" de l\'autorité traditionnelle paraissent bien dérisoires dès lors qu\'elles ne s\'accompagnent ni d\'une réflexion sur la nature de cette autorité, ni d\'un travail sur les moyens de l\'exercer à bon escient. L\'ouvrage de Bruno Robbes rompt tout autant avec les lamentations passéistes sur un âge d\'or de l\'autorité qu\'avec les préconisations simplistes sur "" la tenue de classe "". L\'auteur s\'efforce, en revanche, de comprendre comment une autorité peut être véritablement éducative. Il souligne la nécessité de dépasser l\'opposition entre contrainte et liberté afin de construire des situations où l\'élève consent à s\'impliquer dans ce qui lui est proposé pour accéder aux savoirs qui lui permettront de s\'émanciper. Il montre aussi que cette autorité requiert une éthique professionnelle qui la rend, tout à la fois, légitime et praticable. Mais l\'originalité de ce livre tient aussi dans la manière dont il s\'appuie sur des situations concrètes qui, de la maternelle au lycée, permettent de comprendre où se situent les problèmes d\'autorité, comment les analyser et les surmonter. Grâce à ces situations, où l\'on reconnaîtra le quotidien de notre école, le lecteur pourra non seulement identifier les enjeux de l\'autorité éducative aujourd\'hui, mais aussi voir comment on peut concrètement s\'y prendre pour y faire face. Sans dramatiser ni s\'épuiser. Et même en trouvant du plaisir à enseigner ! Philippe Meirieu', 'categories': [], 'avg_rating': 0, 'page_count': 265}","Tout enseignant, tout éducateur se doit d'exercer une autorité. Aucun d'entre eux, d'ailleurs, ne souhaite délibérément abdiquer son autorité ! Pour autant, les injonctions à la "" restauration "" de l'autorité traditionnelle paraissent bien dérisoires dès lors qu'elles ne s'accompagnent ni d'une réflexion sur la nature de cette autorité, ni d'un travail sur les moyens de l'exercer à bon escient. L'ouvrage de Bruno Robbes rompt tout autant avec les lamentations passéistes sur un âge d'or de l'autorité qu'avec les préconisations simplistes sur "" la tenue de classe "". L'auteur s'efforce, en revanche, de comprendre comment une autorité peut être véritablement éducative. Il souligne la nécessité de dépasser l'opposition entre contrainte et liberté afin de construire des situations où l'élève consent à s'impliquer dans ce qui lui est proposé pour accéder aux savoirs qui lui permettront de s'émanciper. Il montre aussi que cette autorité requiert une éthique professionnelle qui la rend, tout à la fois, légitime et praticable. Mais l'originalité de ce livre tient aussi dans la manière dont il s'appuie sur des situations concrètes qui, de la maternelle au lycée, permettent de comprendre où se situent les problèmes d'autorité, comment les analyser et les surmonter. Grâce à ces situations, où l'on reconnaîtra le quotidien de notre école, le lecteur pourra non seulement identifier les enjeux de l'autorité éducative aujourd'hui, mais aussi voir comment on peut concrètement s'y prendre pour y faire face. Sans dramatiser ni s'épuiser. Et même en trouvant du plaisir à enseigner ! Philippe Meirieu",[],"l'autorité éducative dans la classe : douze situations pour apprendre à l'exercer / robbes, bruno autorité--relation maître-élève; autorité--enseignement primaire ",,9782710121152,L'autorité éducative dans la classe,Bruno Robbes,ESF Editeur,2010,"Tout enseignant, tout éducateur se doit d'exercer une autorité. Aucun d'entre eux, d'ailleurs, ne souhaite délibérément abdiquer son autorité ! Pour autant, les injonctions à la "" restauration "" de l'autorité traditionnelle paraissent bien dérisoires dès lors qu'elles ne s'accompagnent ni d'une réflexion sur la nature de cette autorité, ni d'un travail sur les moyens de l'exercer à bon escient. L'ouvrage de Bruno Robbes rompt tout autant avec les lamentations passéistes sur un âge d'or de l'autorité qu'avec les préconisations simplistes sur "" la tenue de classe "". L'auteur s'efforce, en revanche, de comprendre comment une autorité peut être véritablement éducative. Il souligne la nécessité de dépasser l'opposition entre contrainte et liberté afin de construire des situations où l'élève consent à s'impliquer dans ce qui lui est proposé pour accéder aux savoirs qui lui permettront de s'émanciper. Il montre aussi que cette autorité requiert une éthique professionnelle qui la rend, tout à la fois, légitime et praticable. Mais l'originalité de ce livre tient aussi dans la manière dont il s'appuie sur des situations concrètes qui, de la maternelle au lycée, permettent de comprendre où se situent les problèmes d'autorité, comment les analyser et les surmonter. Grâce à ces situations, où l'on reconnaîtra le quotidien de notre école, le lecteur pourra non seulement identifier les enjeux de l'autorité éducative aujourd'hui, mais aussi voir comment on peut concrètement s'y prendre pour y faire face. Sans dramatiser ni s'épuiser. Et même en trouvant du plaisir à enseigner ! Philippe Meirieu",,
Un autre regard sur le climat /,Emma dessinatrice 1981-....,9791097160821,Massot,Climat--Détérioration; Bandes dessinées,8,9791097160821,"{'description': ""Une bande-dessinée inédite par la blogueuse la plus engagée du moment ! Elle avait déjà servi la cause des femmes et des réfugiés. La blogueuse Emma s'attaque maintenant au réchauffement climatique. Comment fonctionne le réchauffement climatique ? Qu'est-ce que la taxe carbone ? S'appuyant sur de nombreuses recherches, cette introduction au changement climatique permet de mieux comprendre les mécanismes à l'oeuvre et les évolutions possibles dans les décennies à venir. Le but est aussi de montrer que des solutions sont à portée de main et que chacun à notre manière, nous pouvons contribuer à ce changement. Des dessins simples, un contenu au plus près des préoccupations des citoyens et un message clair : se trouvent ici condensés tous les ingrédients qui font le succès des bandes-dessinées d'Emma."", 'categories': [], 'avg_rating': 0, 'page_count': 96}","Une bande-dessinée inédite par la blogueuse la plus engagée du moment ! Elle avait déjà servi la cause des femmes et des réfugiés. La blogueuse Emma s'attaque maintenant au réchauffement climatique. Comment fonctionne le réchauffement climatique ? Qu'est-ce que la taxe carbone ? S'appuyant sur de nombreuses recherches, cette introduction au changement climatique permet de mieux comprendre les mécanismes à l'oeuvre et les évolutions possibles dans les décennies à venir. Le but est aussi de montrer que des solutions sont à portée de main et que chacun à notre manière, nous pouvons contribuer à ce changement. Des dessins simples, un contenu au plus près des préoccupations des citoyens et un message clair : se trouvent ici condensés tous les ingrédients qui font le succès des bandes-dessinées d'Emma.",[],un autre regard sur le climat / emma dessinatrice 1981-.... climat--détérioration; bandes dessinées ,,9791097160821,Un autre regard sur le climat,Emma,,2019-05-02,"Une bande-dessinée inédite par la blogueuse la plus engagée du moment ! Elle avait déjà servi la cause des femmes et des réfugiés. La blogueuse Emma s'attaque maintenant au réchauffement climatique. Comment fonctionne le réchauffement climatique ? Qu'est-ce que la taxe carbone ? S'appuyant sur de nombreuses recherches, cette introduction au changement climatique permet de mieux comprendre les mécanismes à l'oeuvre et les évolutions possibles dans les décennies à venir. Le but est aussi de montrer que des solutions sont à portée de main et que chacun à notre manière, nous pouvons contribuer à ce changement. Des dessins simples, un contenu au plus près des préoccupations des citoyens et un message clair : se trouvent ici condensés tous les ingrédients qui font le succès des bandes-dessinées d'Emma.",,
Le mirage de la croissance verte /,"Auffret, Anthony",9782413043591; 2413043594,Delcourt,Développement économique--Aspect environnemental; Développement durable--Aspect environnemental; Bandes dessinées,9,9782413043591,"{'description': '', 'categories': [], 'avg_rating': 0, 'page_count': 152}",,[],"le mirage de la croissance verte / auffret, anthony développement économique--aspect environnemental; développement durable--aspect environnemental; bandes dessinées ",,9782413043591,Le mirage de la croissance verte,Anthony Auffret,,2022,,,
